,date,real_output,RFR
23343,1567760400000,13.01,12.582299999999998
23344,1567764000000,15.12,14.421899999999996
23345,1567767600000,14.99,15.797000000000008
23347,1567774800000,9.85,11.469
23348,1567778400000,7.94,8.804
23349,1567782000000,6.02,4.799199999999998
23350,1567785600000,3.08,2.585900000000001
23351,1567789200000,1.63,0.7233999999999999
23353,1567796400000,0.0,0.15649999999999997
23354,1567800000000,0.0,1.8905362660926552e-06
23355,1567803600000,0.0,1.8905362660926552e-06
23356,1567807200000,0.0,1.8905362660926552e-06
23357,1567810800000,0.0,1.8905362660926552e-06
23359,1567818000000,0.0,1.8905362660926552e-06
23360,1567821600000,0.0,1.8905362660926552e-06
23361,1567825200000,0.0,1.8905362660926552e-06
23362,1567828800000,0.0,1.8905362660926552e-06
23363,1567832400000,0.05,0.5258999999999999
23364,1567836000000,0.91,1.4235999999999986
23365,1567839600000,2.63,2.6397999999999997
23366,1567843200000,3.87,4.7069
23367,1567846800000,6.79,6.3691999999999975
23368,1567850400000,3.36,7.588799999999999
23369,1567854000000,6.24,5.028599999999999
23371,1567861200000,8.65,7.5142000000000015
23372,1567864800000,8.74,7.642800000000001
23373,1567868400000,5.62,6.250400000000006
23374,1567872000000,1.9,3.1634
23375,1567875600000,2.37,0.7636999999999997
23377,1567882800000,0.0,0.1803
23378,1567886400000,0.0,1.8905362660926552e-06
23379,1567890000000,0.0,1.8905362660926552e-06
23380,1567893600000,0.0,1.8905362660926552e-06
23381,1567897200000,0.0,1.8905362660926552e-06
23383,1567904400000,0.0,1.8905362660926552e-06
23384,1567908000000,0.0,1.8905362660926552e-06
23385,1567911600000,0.0,1.8905362660926552e-06
23386,1567915200000,0.0,1.8905362660926552e-06
23387,1567918800000,0.26,0.7424999999999998
23389,1567926000000,3.97,3.101400000000001
23390,1567929600000,8.19,5.8233
23391,1567933200000,10.51,8.531399999999996
23392,1567936800000,13.57,9.868999999999998
23393,1567940400000,12.05,12.184099999999999
23395,1567947600000,6.19,7.220599999999999
23396,1567951200000,4.69,5.62
23397,1567954800000,2.56,3.9764999999999993
23398,1567958400000,1.5,3.193900000000001
23399,1567962000000,0.44,0.38690000000000013
