date,air_humidity_id,sun_hours_id,output
1537995600000,83,0.0,
1537999200000,70,0.0,
1538002800000,65,0.0,
1538006400000,59,0.0,
1538010000000,55,0.0,
1538013600000,55,0.0,
1538017200000,55,0.0,
1538020800000,56,0.0,
1538024400000,57,0.6,
1538028000000,56,3.8,
1538031600000,55,9.6,
1538035200000,55,15.8,
1538038800000,51,32.3,
1538042400000,47,33.5,
1538046000000,46,28.3,
1538049600000,44,23.3,
1538053200000,47,14.3,
1538056800000,56,6.4,
1538060400000,60,2.3,
1538064000000,92,0.5,
1538067600000,99,0.0,
1538071200000,100,0.0,
1538074800000,100,0.0,
1538078400000,100,0.0,
1538082000000,99,0.0,
1538085600000,100,0.0,
1538089200000,100,0.0,
1538092800000,100,0.0,
1538096400000,99,0.0,
1538100000000,99,0.0,
1538103600000,99,0.0,
1538107200000,99,0.0,
1538110800000,99,0.5,
1538114400000,98,2.2,
1538118000000,97,7.7,
1538121600000,92,15.6,
1538125200000,85,29.6,
1538128800000,79,18.7,
1538132400000,71,25.6,
1538136000000,72,14.2,
1538139600000,88,15.6,
1538143200000,89,11.3,
1538146800000,85,3.0,
1538150400000,81,0.3,
1538154000000,84,0.0,
1538157600000,88,0.0,
1538161200000,90,0.0,
1538164800000,87,0.0,
1538168400000,81,0.0,
1538172000000,77,0.0,
1538175600000,77,0.0,
1538179200000,76,0.0,
1538182800000,75,0.0,
1538186400000,82,0.0,
1538190000000,80,0.0,
1538193600000,89,0.0,
1538197200000,86,0.2,
1538200800000,84,2.8,
1538204400000,71,8.0,
1538208000000,63,17.4,
1538211600000,57,19.7,
1538215200000,47,21.1,
1538218800000,45,21.3,
1538222400000,46,18.9,
1538226000000,56,15.1,
1538229600000,62,8.1,
1538233200000,70,2.5,
1538236800000,72,0.4,
1538240400000,77,0.0,
1538244000000,79,0.0,
1538247600000,76,0.0,
1538251200000,76,0.0,
1538254800000,77,0.0,
1538258400000,80,0.0,
1538262000000,81,0.0,
1538265600000,79,0.0,
1538269200000,77,0.0,
1538272800000,76,0.0,
1538276400000,78,0.0,
1538280000000,73,0.0,
1538283600000,73,0.2,
1538287200000,73,1.9,
1538290800000,73,5.5,
1538294400000,73,13.0,
1538298000000,69,12.4,
1538301600000,68,20.0,
1538305200000,67,30.4,
1538308800000,69,29.9,
1538312400000,62,22.9,
1538316000000,61,13.9,
1538319600000,64,5.6,
1538323200000,66,0.9,
1538326800000,72,0.0,
1538330400000,74,0.0,
1538334000000,77,0.0,
1538337600000,80,0.0,
1538341200000,83,0.0,
1538344800000,85,0.0,
1538348400000,87,0.0,
1538352000000,90,0.0,
1538355600000,92,0.0,
1538359200000,94,0.0,
1538362800000,96,0.0,
1538366400000,98,0.0,
1538370000000,100,0.2,
1538373600000,99,2.6,
1538377200000,94,6.1,
1538380800000,91,12.4,
1538384400000,85,18.8,
1538388000000,78,20.9,
1538391600000,74,25.0,
1538395200000,71,24.7,
1538398800000,64,17.3,
1538402400000,70,7.9,
1538406000000,71,2.4,
1538409600000,77,0.3,
1538413200000,92,0.0,
1538416800000,93,0.0,
1538420400000,93,0.0,
1538424000000,96,0.0,
1538427600000,100,0.0,
1538431200000,100,0.0,
1538434800000,100,0.0,
1538438400000,100,0.0,
1538442000000,100,0.0,
1538445600000,100,0.0,
1538449200000,100,0.0,
1538452800000,100,0.0,
1538456400000,100,0.2,
1538460000000,100,3.1,
1538463600000,100,9.7,
1538467200000,99,8.5,
1538470800000,87,19.2,
1538474400000,88,17.7,
1538478000000,79,23.9,
1538481600000,79,21.5,
1538485200000,83,16.0,
1538488800000,85,6.3,
1538492400000,87,1.9,
1538496000000,88,0.3,
1538499600000,94,0.0,
1538503200000,97,0.0,
1538506800000,94,0.0,
1538510400000,84,0.0,
1538514000000,84,0.0,
1538517600000,81,0.0,
1538521200000,85,0.0,
1538524800000,89,0.0,
1538528400000,97,0.0,
1538532000000,93,0.0,
1538535600000,96,0.0,
1538539200000,86,0.0,
1538542800000,85,0.1,
1538546400000,84,1.4,
1538550000000,80,5.6,
1538553600000,67,12.9,
1538557200000,64,20.6,
1538560800000,59,30.2,
1538564400000,64,31.5,
1538568000000,62,24.4,
1538571600000,54,20.3,
1538575200000,58,9.2,
1538578800000,72,1.6,
1538582400000,70,0.3,
1538586000000,73,0.0,
1538589600000,75,0.0,
1538593200000,78,0.0,
1538596800000,85,0.0,
1538600400000,88,0.0,
1538604000000,90,0.0,
1538607600000,91,0.0,
1538611200000,91,0.0,
1538614800000,92,0.0,
1538618400000,92,0.0,
1538622000000,95,0.0,
1538625600000,94,0.0,
1538629200000,94,0.0,
1538632800000,92,3.4,
1538636400000,86,10.8,
1538640000000,76,22.0,
1538643600000,65,32.2,
1538647200000,59,38.1,
1538650800000,56,27.0,
1538654400000,52,16.9,
1538658000000,55,12.1,
1538661600000,53,7.0,
1538665200000,61,1.9,
1538668800000,73,0.2,
1538672400000,75,0.0,
1538676000000,79,0.0,
1538679600000,81,0.0,
1538683200000,83,0.0,
1538686800000,81,0.0,
1538690400000,94,0.0,
1538694000000,95,0.0,
1538697600000,93,0.0,0.0
1538701200000,94,0.0,0.0
1538704800000,92,0.0,0.0
1538708400000,94,0.0,0.0
1538712000000,93,0.0,0.0
1538715600000,91,0.0,0.0
1538719200000,92,1.6,0.0
1538722800000,91,5.4,0.0
1538726400000,84,11.3,0.48
1538730000000,78,13.3,1.19
1538733600000,73,30.1,2.34
1538737200000,61,38.4,5.68
1538740800000,59,31.3,5.49
1538744400000,54,22.4,4.48
1538748000000,51,7.1,1.49
1538751600000,51,3.3,0.85
1538755200000,58,0.1,0.22
1538758800000,63,0.0,0.0
1538762400000,61,0.0,0.0
1538766000000,65,0.0,0.0
1538769600000,66,0.0,0.0
1538773200000,63,0.0,0.0
1538776800000,64,0.0,0.0
1538780400000,70,0.0,0.0
1538784000000,75,0.0,0.0
1538787600000,78,0.0,0.0
1538791200000,80,0.0,0.0
1538794800000,81,0.0,0.0
1538798400000,82,0.0,0.0
1538802000000,83,0.0,0.0
1538805600000,86,1.1,0.03
1538809200000,86,4.8,0.32
1538812800000,81,10.1,0.98
1538816400000,77,14.4,1.67
1538820000000,67,14.2,2.6
1538823600000,65,17.7,2.29
1538827200000,53,13.7,2.34
1538830800000,60,12.1,1.17
1538834400000,62,5.1,0.66
1538838000000,67,1.8,0.47
1538841600000,67,0.1,0.09
1538845200000,72,0.0,0.0
1538848800000,78,0.0,0.0
1538852400000,76,0.0,0.0
1538856000000,83,0.0,0.0
1538859600000,84,0.0,0.0
1538863200000,79,0.0,0.0
1538866800000,78,0.0,0.0
1538870400000,80,0.0,0.0
1538874000000,81,0.0,0.0
1538877600000,79,0.0,0.0
1538881200000,82,0.0,0.0
1538884800000,83,0.0,0.0
1538888400000,85,0.0,0.0
1538892000000,92,0.9,0.05
1538895600000,92,3.1,0.26
1538899200000,87,14.3,0.66
1538902800000,81,22.8,2.7
1538906400000,73,28.0,4.93
1538910000000,66,28.6,5.5
1538913600000,63,24.6,5.62
1538917200000,61,16.9,5.06
1538920800000,62,8.9,3.79
1538924400000,59,3.0,2.02
1538928000000,65,0.0,0.24
1538931600000,77,0.0,0.0
1538935200000,84,0.0,0.0
1538938800000,86,0.0,0.0
1538942400000,81,0.0,0.0
1538946000000,79,0.0,0.0
1538949600000,92,0.0,0.0
