date,air_humidity_id,cloud_coverage_id,air_pressure_id,sun_hours_id,output
1551463200000,60,13,1012.0,0.0,0.0
1551506400000,78,25,1005.6,0.4,0.0
1551528000000,52,25,1001.6,23.5,10.98
1551549600000,65,88,1000.2,0.0,0.0
1551592800000,96,100,996.3,0.2,0.0
1551614400000,98,100,990.9,9.3,0.91
1551636000000,97,100,990.4,0.0,0.0
1551679200000,93,100,988.8,0.2,0.0
1551700800000,95,100,984.7,10.0,1.39
1551722400000,97,100,978.8,0.0,0.0
1551787200000,71,50,994.5,19.5,1.41
1551808800000,60,63,1002.9,0.0,0.0
1551852000000,73,88,1009.4,0.3,0.0
1551895200000,92,100,1006.2,0.0,0.0
1551938400000,96,100,994.3,0.3,0.0
1551960000000,98,100,989.9,8.2,1.16
1551981600000,100,100,987.2,0.0,0.0
1552024800000,88,88,983.4,0.4,0.01
1552046400000,91,100,980.1,9.0,1.22
1552068000000,94,100,983.3,0.0,0.0
1552111200000,74,13,993.6,1.3,0.0
1552132800000,72,88,990.4,17.6,4.36
1552154400000,95,100,985.4,0.0,0.0
1552197600000,82,38,989.6,1.1,0.0
1552219200000,56,38,990.9,21.9,11.88
1552284000000,77,38,997.5,1.3,0.04
1552305600000,51,50,1000.6,19.0,11.66
1552327200000,43,63,1004.6,0.0,0.0
1552370400000,58,13,1010.9,1.5,0.07
1552392000000,52,13,1011.4,23.5,11.33
1552413600000,44,25,1008.3,0.0,0.0
1552456800000,92,100,996.7,0.7,0.0
1552500000000,90,88,993.5,0.0,0.0
1552543200000,94,100,990.1,0.7,0.02
1552564800000,94,100,989.2,9.9,2.59
1552586400000,93,100,989.8,0.0,0.0
1552629600000,95,100,991.3,0.7,0.09
1552651200000,93,100,989.3,12.7,0.86
1552672800000,97,100,985.6,0.0,0.0
1552716000000,95,100,988.8,1.0,0.12
1552737600000,83,100,993.6,9.2,3.43
1552759200000,82,88,996.6,0.0,0.0
1552802400000,93,100,991.0,1.0,0.0
1552824000000,90,100,984.9,12.6,1.77
1552845600000,93,25,985.8,0.0,0.0
1552910400000,81,100,991.1,8.9,3.94
1552932000000,99,100,998.6,0.0,0.0
1552996800000,59,63,1016.7,29.4,11.98
1553018400000,57,13,1020.3,0.0,0.0
1553061600000,71,100,1017.3,1.4,0.11
1553083200000,86,100,1015.1,18.3,5.09
1553104800000,69,38,1017.9,0.0,0.0
1553148000000,77,75,1017.6,3.1,0.09
1553169600000,80,100,1014.4,20.6,1.66
1553191200000,84,50,1017.0,0.0,0.01
1553234400000,54,25,1031.7,4.2,0.32
