date,air_humidity_id,precipitation_id,sun_hours_id,output
1533967200000,68,,19.0,0.67
1533970800000,63,0.0,34.3,1.09
1533974400000,57,0.0,53.0,2.6
1533978000000,51,0.0,68.4,7.48
1533981600000,49,0.0,87.6,11.19
1533985200000,46,0.0,58.4,10.26
1533988800000,44,,44.6,7.76
1533992400000,39,0.0,52.0,8.28
1533996000000,38,0.0,32.8,8.59
1533999600000,38,0.0,26.9,6.21
1534003200000,41,0.0,12.3,3.68
1534006800000,42,0.0,5.0,1.07
1534010400000,60,,1.2,0.31
1534014000000,65,0.0,0.0,0.07
1534017600000,65,0.0,0.0,0.02
1534021200000,70,0.0,0.0,0.0
1534024800000,79,0.0,0.0,0.0
1534028400000,81,0.2,0.0,0.0
1534032000000,87,0.1,0.0,0.0
1534035600000,97,6.0,0.0,0.0
1534039200000,97,1.0,0.0,0.0
1534042800000,98,0.9,0.0,0.0
1534046400000,99,1.0,1.3,0.01
1534050000000,98,2.0,3.4,0.32
1534053600000,97,1.0,8.5,1.72
1534057200000,96,2.0,15.6,1.63
1534060800000,92,0.2,21.6,1.44
1534064400000,88,0.0,33.2,3.51
1534068000000,85,0.0,43.5,5.04
1534071600000,82,0.0,40.5,2.85
1534075200000,91,1.0,40.7,3.23
1534078800000,96,5.0,34.8,1.98
1534082400000,96,0.3,28.5,0.88
1534086000000,92,0.0,17.0,0.93
1534089600000,93,0.2,7.5,1.62
1534093200000,92,0.0,2.9,0.69
1534096800000,93,,0.8,0.21
1534100400000,94,0.0,0.0,0.02
1534104000000,94,0.0,0.0,0.02
1534107600000,92,0.0,0.0,0.0
1534111200000,90,0.0,0.0,0.0
1534114800000,93,0.0,0.0,0.0
1534118400000,96,,0.0,0.0
1534122000000,97,0.0,0.0,0.0
1534125600000,97,0.0,0.0,0.0
1534129200000,97,0.0,0.0,0.0
1534132800000,99,0.0,2.1,0.07
1534136400000,94,0.0,7.3,0.33
1534140000000,80,,17.6,0.55
1534143600000,73,0.0,31.0,0.68
1534147200000,69,0.0,55.9,2.39
1534150800000,63,0.0,72.0,7.33
1534154400000,59,0.0,79.4,10.99
1534158000000,57,0.0,82.3,13.54
1534161600000,54,,76.2,13.32
1534165200000,52,0.0,59.8,11.96
1534168800000,49,0.0,42.5,11.13
1534172400000,51,0.0,26.4,8.54
1534176000000,50,0.0,16.2,4.71
1534179600000,48,0.0,6.1,1.6
1534183200000,53,,1.4,0.49
1534186800000,74,0.0,0.0,0.08
1534190400000,89,0.0,0.0,0.02
1534194000000,97,0.0,0.0,0.0
1534197600000,97,0.0,0.0,0.0
1534201200000,99,0.0,0.0,0.0
1534204800000,99,,0.0,0.0
1534208400000,99,0.0,0.0,0.0
1534212000000,100,0.0,0.0,0.0
1534215600000,100,0.0,0.0,0.0
1534219200000,100,0.0,0.9,0.24
1534222800000,100,0.0,3.3,0.68
1534226400000,86,,8.0,1.05
1534230000000,78,0.0,29.6,1.36
1534233600000,70,0.0,40.0,3.09
1534237200000,55,0.0,57.7,7.15
1534240800000,44,0.0,66.4,7.46
1534244400000,44,0.0,51.5,6.84
1534248000000,43,,52.8,3.92
1534251600000,49,0.0,31.7,2.03
1534255200000,54,0.0,22.7,1.8
1534258800000,70,0.2,11.9,1.15
1534262400000,88,0.7,5.9,0.68
1534266000000,90,0.2,2.9,0.36
1534269600000,91,0.0,0.6,0.12
1534273200000,93,0.0,0.0,0.03
1534276800000,95,0.0,0.0,0.01
1534280400000,95,0.0,0.0,0.0
1534284000000,92,0.0,0.0,0.0
1534287600000,92,0.3,0.0,0.0
1534291200000,94,0.0,0.0,0.0
1534294800000,96,0.0,0.0,0.0
1534298400000,96,0.0,0.0,0.0
1534302000000,95,0.0,0.0,0.0
1534305600000,96,0.0,1.4,0.14
1534309200000,96,0.0,2.6,0.77
1534312800000,91,,9.4,1.12
1534316400000,85,0.0,21.1,1.75
1534320000000,69,0.0,32.0,3.15
1534323600000,65,0.0,41.3,3.61
1534327200000,63,0.0,47.8,9.21
1534330800000,57,0.0,38.5,8.13
1534334400000,68,,36.3,2.82
1534338000000,66,0.0,23.5,4.84
1534341600000,61,0.0,16.7,3.29
1534345200000,60,0.0,11.0,2.51
1534348800000,61,0.0,6.3,2.86
1534352400000,60,0.0,1.8,1.46
1534356000000,67,,0.8,0.65
1534359600000,82,0.0,0.0,0.08
1534363200000,81,0.0,0.0,0.02
1534366800000,87,0.0,0.0,0.0
1534370400000,91,0.0,0.0,0.0
1534374000000,92,0.0,0.0,0.0
1534377600000,95,,0.0,0.0
1534381200000,97,0.0,0.0,0.0
1534384800000,97,0.0,0.0,0.0
1534388400000,97,0.0,0.0,0.0
1534392000000,95,0.0,1.0,0.11
1534395600000,93,0.0,3.8,0.71
1534399200000,87,,6.2,1.68
1534402800000,84,0.0,8.5,1.87
1534406400000,72,0.0,15.9,2.97
1534410000000,69,0.0,25.9,6.4
1534413600000,68,0.0,28.1,5.93
1534417200000,68,0.0,20.4,4.29
1534420800000,62,,25.3,5.54
1534424400000,58,0.0,27.8,6.54
1534428000000,58,0.0,15.0,5.36
1534431600000,59,0.0,15.0,4.77
1534435200000,63,0.0,10.4,3.15
1534438800000,67,0.0,3.7,1.32
1534442400000,72,,0.5,0.38
1534446000000,76,0.0,0.0,0.06
1534449600000,78,0.0,0.0,0.01
1534453200000,82,0.0,0.0,0.0
1534456800000,84,0.0,0.0,0.0
1534460400000,85,0.0,0.0,0.0
1534464000000,88,,0.0,0.0
1534467600000,86,0.0,0.0,0.0
1534471200000,82,0.0,0.0,0.0
1534474800000,79,0.0,0.0,0.0
1534478400000,78,0.0,0.7,0.05
1534482000000,79,0.0,3.6,0.69
1534485600000,77,,10.1,1.11
1534489200000,77,0.0,16.3,2.1
1534492800000,72,0.0,22.2,3.46
1534496400000,72,0.0,35.8,3.87
1534500000000,70,0.0,41.7,5.68
1534503600000,67,0.0,32.0,7.96
1534507200000,82,4.0,24.8,4.09
1534510800000,99,3.0,18.2,2.91
1534514400000,91,6.0,14.9,1.74
1534518000000,92,3.0,9.0,1.2
1534521600000,91,0.0,7.0,0.65
1534525200000,98,7.0,2.6,0.43
1534528800000,94,,0.5,0.13
1534532400000,86,0.0,0.0,0.14
1534536000000,87,0.0,0.0,0.01
1534539600000,89,0.0,0.0,0.0
1534543200000,90,0.0,0.0,0.0
1534546800000,91,0.0,0.0,0.0
1534550400000,91,,0.0,0.0
1534554000000,91,0.0,0.0,0.0
1534557600000,92,0.0,0.0,0.0
1534561200000,94,0.0,0.0,0.0
1534564800000,95,0.0,1.4,0.06
1534568400000,92,0.0,5.6,0.33
1534572000000,87,,14.2,0.6
1534575600000,81,0.0,25.3,0.98
1534579200000,72,0.0,41.9,2.52
1534582800000,65,0.0,55.7,6.93
1534586400000,60,0.0,58.3,7.7
1534590000000,57,0.0,63.4,9.25
1534593600000,57,,46.6,6.04
1534597200000,50,0.0,45.2,6.6
1534600800000,53,0.0,29.4,6.43
1534604400000,54,0.0,10.8,2.03
1534608000000,55,0.0,6.2,2.02
1534611600000,57,0.0,2.6,0.46
1534615200000,59,,0.5,0.13
1534618800000,67,0.1,0.0,0.03
1534622400000,68,0.0,0.0,0.0
1534626000000,73,0.0,0.0,0.0
1534629600000,79,0.0,0.0,0.0
1534633200000,84,0.0,0.0,0.0
1534636800000,84,0.0,0.0,0.0
1534640400000,89,,0.0,0.0
1534644000000,89,0.0,0.0,0.0
1534647600000,86,0.0,0.0,0.0
1534651200000,86,0.0,1.3,0.09
1534654800000,84,0.0,5.5,0.43
1534658400000,79,,14.3,0.61
1534662000000,72,0.0,27.3,1.02
1534665600000,67,0.0,44.1,2.42
1534669200000,61,0.0,60.0,4.87
1534672800000,57,0.0,62.0,9.82
1534676400000,55,0.0,65.3,9.0
1534680000000,53,,67.4,11.36
1534683600000,52,0.0,55.7,13.68
1534687200000,50,0.0,36.6,10.31
1534690800000,48,0.0,19.8,6.93
1534694400000,51,0.0,10.5,2.94
1534698000000,58,0.0,3.5,1.26
1534701600000,63,,0.6,0.46
1534705200000,68,0.0,0.0,0.04
1534708800000,70,0.0,0.0,0.01
1534712400000,74,0.0,0.0,0.0
1534716000000,80,0.0,0.0,0.0
1534719600000,79,0.0,0.0,0.0
1534723200000,80,,0.0,0.0
1534726800000,81,0.0,0.0,0.0
1534730400000,88,0.0,0.0,0.0
1534734000000,92,0.0,0.0,0.0
1534737600000,92,0.0,1.2,0.08
1534741200000,91,0.0,4.9,0.38
1534744800000,84,,12.4,1.0
1534748400000,86,0.0,20.3,2.22
1534752000000,84,0.0,30.8,3.51
1534755600000,79,0.0,42.4,4.86
1534759200000,70,0.0,48.6,7.84
1534762800000,69,0.0,42.7,5.21
1534766400000,69,,39.1,4.76
1534770000000,71,0.0,32.7,3.63
1534834800000,66,0.0,22.4,0.69
1534838400000,61,0.0,36.9,2.17
1534842000000,56,0.0,51.6,6.51
1534852800000,48,,60.5,9.88
1534860000000,43,0.0,36.7,6.69
1534863600000,44,0.0,21.5,4.64
1534867200000,39,0.0,10.6,2.59
1534870800000,48,0.0,3.9,0.95
1534874400000,51,,0.7,0.42
1534878000000,66,0.0,0.0,0.04
1534881600000,82,0.0,0.0,0.01
1534885200000,90,0.0,0.0,0.0
