,date,real_output,StandardScaler_LR,MinMaxScaler_LR,MaxAbsScaler_LR,RobustScaler_LR,QuantileTransformer-Normal_LR,QuantileTransformer-Uniform_LR,PowerTransformer-Yeo-Johnson_LR,Normalizer_LR,StandardScaler_RFR,MinMaxScaler_RFR,MaxAbsScaler_RFR,RobustScaler_RFR,QuantileTransformer-Normal_RFR,QuantileTransformer-Uniform_RFR,PowerTransformer-Yeo-Johnson_RFR,Normalizer_RFR
35052,1579539600000,0.0,0.014670689986425733,0.014670689986429175,0.014670689986426844,0.01467068998642529,1.2969288643198724,1.0634825067272269,0.048362222027001245,0.0,0.010500000000000008,0.010500000000000008,0.010500000000000008,0.010500000000000008,0.010400000000000006,0.010400000000000006,0.0,1.2982961795539325
35053,1579543200000,0.0,0.077673040254153,0.07767304025415511,0.07767304025415633,0.07767304025415261,0.2905995699240953,0.4217879197668286,0.0,0.0,0.010700000000000008,0.010700000000000008,0.010700000000000008,0.010700000000000008,0.010600000000000007,0.010700000000000008,5.215905966012999e-06,1.2982961795539325
35054,1579546800000,0.0,0.06575000758721039,0.06575000758721133,0.06575000758721394,0.0657500075872097,0.5158655718161347,0.012586152227331171,0.0,0.0,0.011100000000000007,0.011000000000000008,0.011100000000000007,0.011000000000000008,0.010700000000000008,0.010700000000000008,5.215905966012999e-06,1.2982961795539325
35055,1579550400000,0.0,0.037357108941113326,0.037357108941114325,0.03735710894111843,0.037357108941112716,0.07471527944158529,0.0,0.0,0.0,0.011200000000000009,0.011200000000000009,0.011200000000000009,0.011200000000000009,0.010900000000000007,0.010900000000000007,5.215905966012999e-06,1.2982961795539325
35056,1579554000000,0.0,0.012388333362053361,0.012388333362054027,0.012388333362058468,0.01238833336205325,0.0,0.0,0.0,0.0,0.010600000000000007,0.010600000000000007,0.010600000000000007,0.010600000000000007,0.010600000000000007,0.010600000000000007,5.215905966012999e-06,1.2982961795539325
35057,1579557600000,0.0,0.020415528304111863,0.02041552830411275,0.020415528304118524,0.020415528304111974,0.0,0.0,0.0,0.0,0.009000000000000006,0.009000000000000006,0.009000000000000006,0.009000000000000006,0.008900000000000007,0.008900000000000007,5.215905966012999e-06,1.2982961795539325
35058,1579561200000,0.0,0.03933218763103108,0.03933218763103152,0.03933218763103774,0.03933218763103136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.215905966012999e-06,1.2982961795539325
35059,1579564800000,0.0,0.06910069805810659,0.06910069805810726,0.06910069805811325,0.06910069805810726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.215905966012999e-06,1.2982961795539325
35060,1579568400000,0.0,0.1208841767250819,0.12088417672508223,0.12088417672508811,0.12088417672508268,0.0,0.0,0.10065744967439683,0.040557305109882424,0.009900000000000008,0.009900000000000008,0.009900000000000008,0.009900000000000008,0.009900000000000008,0.009900000000000008,5.215905966012999e-06,1.2982961795539325
35061,1579572000000,0.0,0.18461864203753242,0.18461864203753353,0.18461864203753997,0.18461864203753364,0.0,0.0,0.16822864173992014,0.10352352755268601,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,5.215905966012999e-06,1.2982961795539325
